"Titolo","Attachments","data","msg","nome","viaggio","route-code","Risposta da Verdenatura","Lingue"
"Ines F. – G250","","2013-05-14","Nel complesso la vacanza è stata positiva, credo però che l'inconveniente dello sbarco ad harlem invece che ad amsterdam (il 30 aprile era la festa della regina con abdicazione e investimento del nuovo re) dovesse essere tamponato da parte dell'operatore a sue spese con un transfer in minibus. eravamo in europa e ci siamo arrangiati ma se fossimo stati in mezzo alla savana, cosa facevano ci davano le istruzioni per chiedere un passaggio al primo elefante che passava di li? da questo punto di vista sono stati davvero molto poco seri.","Ines F.","G250 - Tour dei tulipani in bici e barca","G250","",""
"Riccardo S. – G250","","2014-06-09","Io e mia moglie abbiamo sperimentato per la prima volta questa formula barca+bici in olanda,tour dei tulipani.esperienza bellissima da consigliare a chi ama la natura che ci ha incantato con i prati multicolori di tulipani.per non parlare del parco floreale di kukenhof:composizioni floraeli mozzafiato!la cabina in barca era confortevole con il bagno privato.avendo scelto un gruppo internazionale ci siamo trovati con inglesi,americani,canadesi,francesi epersino australiani...eravamo gli unici italiani.ci siamo trovati veramente bene con tutti,anche con il personale a bordo.la guida di nome wim è stata eccezionale,competente,disponibile,non potevamo trovare di meglio.se proprio vogliamo trovare un difetto...il pranzo al sacco era un po' spartano,ma comunque sufficiente!","Riccardo S.","G250 - Tour dei tulipani in bici e barca","G250","",""
"Rita M. – G250","","2015-05-28","E' stata un'esperienza molto bella, io avevo già fatto vacanze in bici anche all'estero ma non ho mai fatto un viaggio bici-barca. siamo stati soddisfatti sia dell'organizzazione, delle bici, del mangiare, della sistemazione cabina, dei percorsi naturalistici. purtroppo non abbiamo potuto apprezzare completamente la professionalità della guida in quanto non parliamo molto bene l'inglese, comunque è sempre stata disponibile e ha cercato sempre di comunicare con noi. non conoscevo verde natura ma sono stata così bene che ho prenotato a settembre un'altro viaggio in bici. grazie rita m.","Rita M.","G250 - Tour dei tulipani in bici e barca","G250","",""
"Melania Z. – G250","","2013-05-15","Buongiorno, vi scrivo volentieri, anche per conto dei miei compagni di viaggio.
 il giro che abbiamo appena fatto ci è piaciuto davvero molto e siamo rimasti molto soddisfatti, sotto tutti i punti di vista.
 
 la prenotazione è stata efficiente e puntuale (anche con notizia di successiva disponibilità di 4 posti, quando si pensava fosse tutto esaurito - molto apprezzato). la sistemazione sulla barca è stata decisamente soddisfacente. si trattava di barca standard con letti a castello: le cabine erano certo un po' strette, ma la cosa si sapeva già da prima, quindi non era una sorpresa: in ogni caso per dormire ci si stava, erano pulite e così anche il piccolo bagno. una vera sorpresa positiva il trattamento di pensione completa. ottima e abbondante la colazione, e molto apprezzato il fatto di potersi preparare da sè il cestino per il pranzo (così uno sceglie solo ciò che gli piace). sempre ottime e abbondanti e varie anche le cene: c'era una cuoca giovane e proprio brava (lilian), che pur nel piccolo spazio della cucina della barca, ha saputo gestire richieste particolari di alcuni ospiti, erroneamente non annunciate in anticipo , cioè al momento della prenotazione (gruppo ""no aglio"" per 10 persone). molto apprezzato il servizio di thè, caffe e acqua potabile gratuite a tutte le ore: una formula vincente. apprezzato anche il fatto che le bibite e birra/vino da acquistare a bordo avessero prezzi vantaggiosi.
 molto carini e accoglienti gli spazi comuni sulla barca (sala da pranzo e anche pontile - quest'ultimo meno sfruttabile per il clima..., ma comunque bello). davvero ottima la guida (kun, ragazzo giovane e in gamba), disponibile e paziente, oltre che in grado di dosare bene le varie attività durante la giornata, conforme le capacità di tutti (gruppo internazionale). molto apprezzato il giretto serale a piedi nelle varie cittadine in cui attraccava la barca, per ravvivare le serate, specie considerato che si cenava molto presto (18.30! - come da abitudine locale).
 bravo anche l'equipaggio, che una sera si è dato da fare per far spegnere alla barca posteggiata vicina alla nostra il generatore molto rumoroso ed emanante gas di scarico addosso alla nostra, costringendoci a chiudere le piccole finestre delle cabine e accendere l'aria condizionata - soluzione questa poco gradevole, dato il clima. buone le bici e comodo ed efficiente il sistema di carico e scarico delle stesse dalla barca, eseguito dall'equipaggio. i paesaggi visti durante il tour sono davvero incantevoli e indimenticabili, per profumi e colori. splendidi i fiori, bellissima la campagna e i suoi mulini a vento, invidiabili le piste ciclabili. bellissima anche amsterdam, dove siamo rimasti altri 2 giorni al termine del tour.
 difetti? non ce ne sono, se non forse che saremmo volentieri rimasti qualche giorno in più.... insomma, in sostanza è una vacanza che davvero consiglierei a tutti. a voi buon lavoro e a presto! melania (e compagni di viaggio)","Melania Z.","G250 - Tour dei tulipani in bici e barca","G250","",""
"Simona d.l. – G251","","2012-08-06","Volevo prima di tutto fare a voi i complimenti, perchè dall'italia avete tutto ben organizzato e quindi è stato facile trovare la barca all'approdo. per quanto riguarda l'organizzazione dell'olanda in generale mi sono trovata bene, es. il cibo era abbondante e buono, la barca spaziosa e accogliente, l'equipaggio e la guida gentili e sempre puntuali. il gruppo era veramente internazionale: avevamo persone dall'australia, nuova zelanda, canada, stati uniti....una bella esperienza. forse l'unico suggerimento sarebbe quello di avere più biciclette a disposizione, in maniera tale che in caso di foratura o malfunzionamento della bici, il cliente abbia la possibilità di sostituirla. grazie di cuore e alla prossima occasione simona","Simona d.l.","G251 - Olanda: Grand Tour in bici e barca","G251","",""
"Elvi – G251","https://www.verde-natura.it/wpsite/wp-content/uploads/G251-commento-03-c.jpg,https://www.verde-natura.it/wpsite/wp-content/uploads/G251-commento-03-b.jpg,https://www.verde-natura.it/wpsite/wp-content/uploads/G251-commento-03-a.jpg","2012-07-26","Il tour mi è piaciuto non solo per avere visto posti interessanti (penso ad esempio al mare del nord e alla grande diga –  ma anche perché è stato costituito un  gruppo internazionale che nel nostro caso era  davvero molto vario  per la diversa provenienza dei partecipanti . tutto ciò ha reso la vacanza stimolante anche per la possibilità di conoscere persone tanto diverse.
 la barca era comoda e si mangiava bene.
 la guida e l’organizzazione nel suo complesso sono parsi buoni, anche se piccoli margini di miglioramento possono sempre essere attuati.","Elvi","G251 - Olanda: Grand Tour in bici e barca","G251","",""
"Massimo G. – G251","","2012-08-07","Il viaggio è stato interessante perchè ci ha portato a vedere posti che in macchina sono difficili da vedere. e' stato bello vivere come gli olandesi sempre sulla bicicletta. molto interessante anche la vita in comune con persone di varie nazionalità,il nostro gruppo era formato da italiani, tedeschi, australiani americani, spagnoli israeliani e croati. l'equipaggio della barca è stato molto disponibile e il cuoco molto bravo nella preparazione delle pietanze. il cambio asciugamani è stato fatto una volta mentre le lenzuola non sono state cambiate, idem le pulizie della cabina :( la guida non è stata coinvolgente e forse con troppe persone da gestire da sola. le bici erano troppo pesanti per fare così tanti km. aspetti culturali a parte la visita al museo di edam non ce ne sono stati. la prenotazione è stata ottima.","Massimo G.","G251 - Olanda: Grand Tour in bici e barca","G251","",""
"Rossana e Lorenzo S. – G251","https://www.verde-natura.it/wpsite/wp-content/uploads/G251-commento-04-f.jpg,https://www.verde-natura.it/wpsite/wp-content/uploads/G251-commento-04-e.jpg,https://www.verde-natura.it/wpsite/wp-content/uploads/G251-commento-04-d.jpg,https://www.verde-natura.it/wpsite/wp-content/uploads/G251-commento-04-c.jpg,https://www.verde-natura.it/wpsite/wp-content/uploads/G251-commento-04-b.jpg,https://www.verde-natura.it/wpsite/wp-content/uploads/G251-commento-04-a.jpg","2012-01-26","Grazie per la stupenda esperienza che ci avete fatto vivere. olanda in libertà, circuito rotta sud dal 5 al 12 settembre. fortunatamente il tempo è sempre stato bello,a parte il vento (forte e frequente). la campagna olandese è idilliaca e il tour merita veramente tanto. unico piccolo neo, le bici a nolo, non sono il massimo. guida e assistenza, road book e barca-hotel tutto bellissimo.","Rossana e Lorenzo S.","G251 - Olanda: Grand Tour in bici e barca","G251","",""
"Nadia C. – G251","https://www.verde-natura.it/wpsite/wp-content/uploads/G251-commento-01-f.jpg,https://www.verde-natura.it/wpsite/wp-content/uploads/G251-commento-01-e.jpg,https://www.verde-natura.it/wpsite/wp-content/uploads/G251-commento-01-d.jpg,https://www.verde-natura.it/wpsite/wp-content/uploads/G251-commento-01-c.jpg,https://www.verde-natura.it/wpsite/wp-content/uploads/G251-commento-01-b.jpg,https://www.verde-natura.it/wpsite/wp-content/uploads/G251-commento-01-a.jpg","2014-08-22","E' stata la mia prima vacanza di questo tipo,ed è pienamente riuscita. mi è piaciuta tantissimo , sicuramente da consigliare; complice sicuramente la scelta dell olanda e dei paesaggi/panorami che offre. la prenotazione con voi è stata semplice e lineare, c'è stato un problema su la condivisione della cabina, ma avete subito proposto un'alternativa. le informazioni ricevute chiare e sufficienti. in generale è andato tutto come mi immaginavo/aspettavo. ovviamente mi è pesato non potermi fermare per fare foto o altro quando avrei voluto; è stato abbastanza scocciante fare foto e prendere un caffè a comando. riconosco che non si poteva fare altrimenti: l avevo messo in programma prima della partenza.quindi è una semplice osservazione sul viaggio , nessuna lamentela! il battello era confortevole e la cabina con tutto il necessario. forse avrei preferito più di un cambio di asciugamano/pulizia...ma visto che era chiaramente indicato nel programma, mi sono portata degli asciugamani in+. colazione e cena abbondante; al riguardo unico punto su cui si potrebbe migliorare è la varietà per la colazione: dovendo utilizzare il cibo della colazione per il pranzo,avrei preferito maggiore varietà di scelta,in modo da non mangiare per 7gg la stessa cosa(ma non l ho vissuto come un problema). in realtà le portate proposte per la cena non rispecchiavano molto i miei gusti personali,ma riconosco la qualità e la bravura dello chef wil: il cibo era davvero ottimo, fresco e abbondante. la guida e il resto dell equipaggio sono stati disponibili mantenendo però il tipico carattere nordico. magari dalla guida ci si aspettava un qualcosa in + il tour proposto mi è piaciuto abbastanza. forse un pò troppo turistico per il mio gusto, ma anche questo l avevo preso in considerazione prima della partenza. però 3 punti su cui migliorare secondo me : - la visita ad amsterdam: mi sarei aspettata un giro in bici o all inizio o al termine del tour, e invece nulla. - mi è dispiaciuto terminare il tour giornaliero sempre allo stesso orario,circa alle 17.orario in cui chiudono i negozi e ""finisce la vita"".già si trattava di piccoli paesi se poi si visitano di sera...si ripeteva in tutte le località toccate, lo stesso scenario:negozi chiusi,vie deserte,alquanto triste. -la cena era davvero troppo presto:18 -normalmente al nostro rientro ci aspettava un piccolo benvenuto al bar,con biscottini,te,caffè e dovendo cenare alle 18,o si facevano due chiacchiere o si correva a fare la doccia. per quanto riguarda le bici utilizzate, forse necessitavano di una maggiore manutenzione, ci sono stati alcuni inconvenienti. anche se io sono sempre uscita con il gruppo , non mi è piaciuto il fatto che se si restava sul battello non si potessero utilizzare le bici - immagino per una questione di ""assicurazione"" , però avendo scelto questo tipo di tour , non poter usare le bici di sera o se si resta sul battello non mi sembra giusto- ripeto, la vacanza mi è piaciuta molto, è davvero un modo interessante e originale per visitare una località/zona . nadia","Nadia C.","G251 - Olanda: Grand Tour in bici e barca","G251","",""
"Biondi Franco – G251","","2016-09-12","Buono il trattamento sulla barca. ma esperienza a mio giudizio negativa. non c'è stato il tempo per fare foto e vedere bene i luoghi perchè bisognava tassativamente ritornare alla barca alle 17.00. faticate enormi per pedalare contro vento per rispettare l'orario.se pago una guida lui deve stare a mio servizio non io al suo. più penso alla vacanza e più mi dò dello stupido.","Biondi Franco","G251 - Olanda: Grand Tour in bici e barca","G251","Le vacanze di gruppo, presuppongono spirito di adattamento. Ci sono dei programmi da rispettare e delle esigenze di persone diverse da far collimare. Nessuno è al ""servizio"" di nessuno. Ci sono solo guide che cercano di fare al meglio il loro lavoro. Tutti i programmi bici e barca in Olanda hanno questi orari di rientro e cena, è l'uso locale e non è possibile cambiarlo: il rientro in barca è di solito tra le 17 e le 17.30 e la cena è alle 18.30. Scegliendo una vacanza in libertà, senza guida e senza mezza pensione, avrà la possibilità di gestire le giornate a suo piacimento.",""
"Marie Rose et Marie Claude – G251","https://www.verde-natura.it/wpsite/wp-content/uploads/G251-commento-02-c.jpg,https://www.verde-natura.it/wpsite/wp-content/uploads/G251-commento-02-b.jpg,https://www.verde-natura.it/wpsite/wp-content/uploads/G251-commento-02-a.jpg","2013-06-01","Un bellissimo tour nel cuore verde dell'olanda. nonostante delle condizioni climatiche avverse ( pioggia, vento, freddo..ma anche qualche raggio di sole !) è stata un'esperienza indimenticabile. l'organizzazione dall'italia è stata chiara e precisa. confortevole la sistemazione in barca e soprattutto buona e abbondante la cucina.il gruppo era veramente internazionale (canada, stati uniti, germania, spagna, francia e italia) e la compagnia è stata piacevolissima un grazie alla nostra guida olandese paul, sempre attento e disponibile .grazie a lilian, una brava cuoca molto cortese e a piet, il capitano puntuale e servizievole. e' una esperienza da fare, una bella avventura da raccontare e ...da ripetere !","Marie Rose et Marie Claude","G251 - Olanda: Grand Tour in bici e barca","G251","",""
"Katya – G251","","2012-08-20","Prima vacanza di questo tipo e decisamente da consigliare! sono davvero felice per aver vissuto questa esperienza! battello molto confortevole, cucina ottima, cambi asciugami tutti i giorni ma pulizia camera mai effettuata (consiglierei una piccola pulizia a metà settimana). la nostra guida simpatica, molto allenata e quindi dalla pedalata veloce ma disponibile a fermarsi ogni volta che qualcuno lo richiedeva (o per fare foto o per bere o per vestirsi o svestirsi!!!). inoltre molto apprezzato anche il ""servizio guida"" della cittadina di approdo ogni sera a terra! l'organizzazione dall'italia ottima ma suggerirei di consigliare ai neofiti di questi viaggi di portare il copriscarpe (che in caso di pioggia ti salva da allagamento assicurato delle scarpe come è successo a noi il primo giorno) e nel caso di sistemazione in cabine con letti singoli (e non a castello) di lasciare libertà nella scelta del bagaglio: un trolley aperto di medie dimensioni anche se rigido,ci sta perfettamente sotto i letti. se siete in dubbio sul vostro grado di allenamento fisico, non preoccupatevi e andate! e' una esperienza da fare!!! inoltre c'è la possibilità di rimanere sul battello o eventulamente in alcune tappe di caricare la bici sul treno e raggiungere il battello senza difficoltà!","Katya","G251 - Olanda: Grand Tour in bici e barca","G251","",""
"Iside – G251","","2012-03-09","Volevo ringraziarvi del servizio avuto durante il viaggio. devo ancora una volta farvi i complimenti per l'organizzazione: buona la sistemazione in barca, buona l'organizzazione del viaggio e soprattutto buona la cucina (il cuoco è stato veramente cortese e affabile oltre ad aver cucinato davvero bene, considerato il mio problema di celiachia). sicuramente si poteva dedicare più tempo alla visita delle cittadine e a qualche foto in più. comunque poco importa, tutto è andato bene, e un altra bella avventura da raccontare è nel mio cassetto.","Iside","G251 - Olanda: Grand Tour in bici e barca","G251","",""
"Simonetta – G254","https://www.verde-natura.it/wpsite/wp-content/uploads/G254-commento-01-d.jpg,https://www.verde-natura.it/wpsite/wp-content/uploads/G254-commento-01-c.jpg,https://www.verde-natura.it/wpsite/wp-content/uploads/G254-commento-01-b.jpg,https://www.verde-natura.it/wpsite/wp-content/uploads/G254-commento-01-a.jpg","2016-09-09","vacanza meravigliosa...sicuramente da ripetere. equipaggio molto professionale e disponibile. compagni di viaggio molto omogenei. meteo...perfetto per pedalare.... cucina ottima... esperienza unica!!","Simonetta","G254 - Olanda: il Lago di Ijssel in bici e veliero","G254","",""
"Loretta – G254","","2012-03-09","Tutto è andato molto  bene, abbiamo trascorso un’ottima vacanza  con delle bellissime pedalate  in bicicletta in posti meravigliosi, la barca era carina, l’equipaggio gentile, la cuoca ottima e gli altri ospiti molto simpatici. vi ringraziamo di tutto!!","Loretta","G254 - Olanda: il Lago di Ijssel in bici e veliero","G254","",""
"Maria L. – G254","","2012-07-27","Una meravigliosa esperienza di condivisione di emozioni, di impegno fisico, conoscitiva, bella anche da un punto di vista relazionale. la barca essenziale ma finalizzata al suo scopo, i pasti abbondanti e gradevoli anche per noi italiani (i migliori in questo campo). l'equipaggio socievole ed accogliente. la scelta dei luoghi da visitare eccellente da un punto di vista naturalistico, originale e stimolante. il verde, i profumi di natura, le cicogne, le mucche, le lepri ci hanno dolcemente e piacevolmente accompagnato lungo il percorso. forse nell'ambito del tour potrei suggerire qualche tappa di carattere storico ed architettonico. le bici comode e adatte per i tour, tranne il tandem un pò pesante e poco maneggevole nei ponti di legno. in cabina il trollei rigido lo consiglio al posto di una valigia morbida, da utilizzare come cassettone da riporre sotto il letto (mancano armadi dove collocare gli abiti). infine vorrei segnalare l'alta professionalità e attenzione della guida (elko) che non ci ha mai perso di vista, ha sempre mostrato pazienza e sensibilità. grazie per questa opportunità esperenziale, saluti affettuosi a tutti- famiglia r.","Maria L.","G254 - Olanda: il Lago di Ijssel in bici e veliero","G254","",""
"Silvia N. – G258","https://www.verde-natura.it/wpsite/wp-content/uploads/G258-commento-02-d.jpg,https://www.verde-natura.it/wpsite/wp-content/uploads/G258-commento-02-c.jpg,https://www.verde-natura.it/wpsite/wp-content/uploads/G258-commento-02-b.jpg,https://www.verde-natura.it/wpsite/wp-content/uploads/G258-commento-02-a.jpg","2015-06-01","Viaggio molto bello. la formula barca bici ci ha permesso anche di vedere alcune città siamo rimasti spiazzate solo all'inizio perché non c'erano altri italiani, ma anche questo si è poi rivelato positivo. rifarò l'esperienza","Silvia N.","G258 - L'Olanda incontra il Belgio","G258","",""
"Giampiero – G258","https://www.verde-natura.it/wpsite/wp-content/uploads/G258-commento-01-b.jpg,https://www.verde-natura.it/wpsite/wp-content/uploads/G258-commento-01-a.jpg","2015-09-17","Viaggio l'olanda incontra il belgio dall' 11 al 18.07.2015...bellissima esperienza da ripetere assolutamente. bella l'atmosfera in barca, pur con tutte le necessità di adattamento che un viaggio del genere richiede. ottimo il rapporto con lo staff, varia e abbondante la cucina, bravissima herma, la ns/ guida. solo la pioggia poteva darci un pò di tregua, ma non ce ne siamo neanche accorti, considerando la piacevolezza del gruppo. a presto","Giampiero","G258 - L'Olanda incontra il Belgio","G258","",""
"Monica M. – G275","","2015-08-17","Il viaggio in bicicletta da parigi a londra con la guida di claudio ed il supporto di riccardo è stato un'esperienza davvero molto bella e fortunata. si è creato un gruppo affiatato che ha positivamente affrontato tutte le giornate con allegria e simpatia. certo siamo stati molto aiutati dal tempo che è stato eccezionale, ma molto è stato frutto delle energie positive di claudio, della pacata onni presenza di riccardo, delle capacità di ciascuno di far parte in modo costruttivo di un gruppo rispettando tempi e modalità. un'esperienza molto positiva che spero di ripetere.","Monica M.","G275 - Avenue Verte: da Parigi a Londra in bici in gruppo","G275","",""
"Luigi C. – G275","","2015-08-18","Sono stato benissimo, ho scoperto grazie a voi un bel modo di viaggiare, ottima organizzazione, nulla da eccepire su tutto, un grazie al nostro caposquadra claudio che ha vegliare su di noi e a riccardo il meccanico portavalori . spero di preparare un nuovo giro per l'estate prossima. inviatemi info . saluti luigi 1408","Luigi C.","G275 - Avenue Verte: da Parigi a Londra in bici in gruppo","G275","",""
"Elisabetta – G275","https://www.verde-natura.it/wpsite/wp-content/uploads/G275-commento-02-b.jpg,https://www.verde-natura.it/wpsite/wp-content/uploads/G275-commento-02-a.jpg","2014-08-29","è stata una vacanza alternativa, ecofriedly, ben organizzata e con delle simpaticissime e preparate guide. rifarei una vacanza di questo tipo e la consiglierei a tutti. alberghi buoni (anche se a londra mi è toccata la camera sopra la ferrovia e avendo il sonno leggero mi sono svegliata al passaggio del primo treno prima dell'alba!). purtroppo i tempi sono stretti e non si riesce a visitare i luoghi che si percorrono. ma si ha molto contatto con la natura che lo compensa.
 
 verde natura","Elisabetta","G275 - Avenue Verte: da Parigi a Londra in bici in gruppo","G275","",""
"Milena – G275","","2017-07-16","AVENUE VERTE DA PARIGI A LONDRA
 
 Ero molto perplessa prima della partenza perché era il primo viaggio che facevo da sola e in più non ero per niente allenata. Tutto si è risolto benissimo; gruppo internazionale fantastico e affiatato, organizzazione perfetta e staff molto preparato a risolvere qualsiasi inconveniente. Luoghi molto belli ed emozionante l'arrivo a Londra.
 Un grazie ancora a Sabrina e Riccardo","Milena","G275 - Avenue Verte: da Parigi a Londra in bici in gruppo","G275","",""
"Stefania – G275","https://www.verde-natura.it/wpsite/wp-content/uploads/IMG-20190804-WA0011.jpg","2019-07-21","Parigi - Londra in una calda settimana di Luglio 2019. Questo viaggio in bici  è stato  senza dubbio un'esperienza totalizzante. Un'occasione unica per una vacanza diversa per chi ama la natura e desidera essere rapito dai panorami indimenticabili della Normandia e  dell'Inghilterra. Questa vacanza mi ha permesso  di conoscere nuovi compagni di viaggio con i quali, oltre che per il piacere della conoscenza, ho condiviso con loro la  passione comune per la bici e momenti di vero relax e divertimento.  Insieme a noi c'era  sempre Xavi, la nostra preziosa  ed esperta guida, che ci ha indicato  la rotta per tutti i 350 km nonchè dato ogni giorno spiegazioni e informazioni a noi utili e  Riccardo, il nostro  riferimento per la logistica nonchè esperto meccanico delle nostre bici. Xavi e Riccardo insieme  ci hanno supportato in ogni nostra esigenza emerse durante le varie tappe del percorso. Un esempio? Un veloce cambio della bici muscolare in e-bike per chi era stanco o l'acqua e la frutta  che Riccardo ci ha gentilmente portato durante una nostra  sosta in una  rovente giornata in Francia. Bravi, bravi bravi.","Stefania","G275 - Avenue Verte: da Parigi a Londra in bici in gruppo","G275","",""
"Claudio – G275","","2017-07-16","E' stato un viaggio indimenticabile. L'organizzazione è stata impeccabile come la qualità dei servizi. L'itinerario molto bello e molto vario. Ma quello che ha fatto la differenza è stato il gruppo. Molto variegato, molto simpatico ma soprattutto molto affiatato, che ha condiviso  il piacere del viaggio ma anche la fatica di ognuno.
 E poi ci sono stati Sabrina e Riccardo che ci hanno guidato e supportato in modo esemplare. Sono stati semplicemente fantastici. Un'esperienza da ripetere e da consigliare. Grazie.","Claudio","G275 - Avenue Verte: da Parigi a Londra in bici in gruppo","G275","",""
"Joanne S. – G275","https://www.verde-natura.it/wpsite/wp-content/uploads/G275-commento-04-f.jpg,https://www.verde-natura.it/wpsite/wp-content/uploads/G275-commento-04-e.jpg,https://www.verde-natura.it/wpsite/wp-content/uploads/G275-commento-04-d.jpg,https://www.verde-natura.it/wpsite/wp-content/uploads/G275-commento-04-c.jpg,https://www.verde-natura.it/wpsite/wp-content/uploads/G275-commento-04-b.jpg,https://www.verde-natura.it/wpsite/wp-content/uploads/G275-commento-04-a.jpg","2014-07-18","Paris to london","Joanne S.","G275 - Avenue Verte: da Parigi a Londra in bici in gruppo","G275","",""
"Remo e Gloria – G275","https://www.verde-natura.it/wpsite/wp-content/uploads/G275-commento-03-e.jpg,https://www.verde-natura.it/wpsite/wp-content/uploads/G275-commento-03-d.jpg,https://www.verde-natura.it/wpsite/wp-content/uploads/G275-commento-03-c.jpg,https://www.verde-natura.it/wpsite/wp-content/uploads/G275-commento-03-b.jpg,https://www.verde-natura.it/wpsite/wp-content/uploads/G275-commento-03-a.jpg","2014-07-25","Viaggio dal 6 al 13 luglio scorso; itinerario bellissimo-ottima assistenza tecnica e umana di riccardo sempre disponibile e gentilissimo (confermatelo !!)- attrezzatura ciclistica del tutto soddisfacente come pure alberghi e cene. insomma molto molto bene - solo tempo avverso (pioggia battente,vento e freddo per 4 gg.)superato comunque senza incidenti vari. da rifare con altre mete e reclamizzare con amici vs/organizzazione.bravi alle prossime !","Remo e Gloria","G275 - Avenue Verte: da Parigi a Londra in bici in gruppo","G275","",""
"Maria d.p. – G275","https://www.verde-natura.it/wpsite/wp-content/uploads/G275-commento-01-f.jpg,https://www.verde-natura.it/wpsite/wp-content/uploads/G275-commento-01-e.jpg,https://www.verde-natura.it/wpsite/wp-content/uploads/G275-commento-01-d.jpg,https://www.verde-natura.it/wpsite/wp-content/uploads/G275-commento-01-c.jpg,https://www.verde-natura.it/wpsite/wp-content/uploads/G275-commento-01-b.jpg,https://www.verde-natura.it/wpsite/wp-content/uploads/G275-commento-01-a.jpg","2015-08-14","Avevo grandi aspettative da questa nuova esperienza di viaggio...e sono state grandemente rispettate! sia per l'organizzazione (impeccabile), che per la simpatia e professionalita' dei bravi claudio e riccardo. e che grande scoperta viaggiare in liberta' su due ruote silenziose....una vera magia! prima ma sicuramente non ultima esperienza","Maria d.p.","G275 - Avenue Verte: da Parigi a Londra in bici in gruppo","G275","",""
"Carisio Mauro – G275","","2014-08-11","Viaggio bellissimo. la guida,riccardo,super. cosa altro dire. tutto molto bello,anche il gran premio della montagana....","Carisio Mauro","G275 - Avenue Verte: da Parigi a Londra in bici in gruppo","G275","",""
"Claudio – G277","https://www.verde-natura.it/wpsite/wp-content/uploads/IMG_1577.jpg,https://www.verde-natura.it/wpsite/wp-content/uploads/IMG_1522.jpg,https://www.verde-natura.it/wpsite/wp-content/uploads/IMG_1547.jpg,https://www.verde-natura.it/wpsite/wp-content/uploads/IMG_1505.jpg","2019-08-11","Semplicemente fantastici, come sempre. Sabrina e Riccardo ci hanno guidato e supportato magnificamente attraverso un paesaggio molto vario e molto bello. Campagna inglese, costa francese, belga, olandese e per finire l'arrivo ad Amsterdam lungo i canali circondati da mulini. Seconda esperienza indimenticabile dopo la Parigi - Londra.
 Grazie Sabrina, grazie Riccardo e grazie a tutti.","Claudio","G277 - Da Londra ad Amsterdam in bicicletta","G277","",""
"lorella – G277","","2019-07-28","Molto  appagante ! Percorsi interessanti, meravigliosi paesaggi, hotel  curatissimi, cene sempre adeguate ed attente alle esigenze di ognuno...ma soprattutto una guida professionale, preparata, sicura, stimolante e molto equilibrata: Riccado!
 Grazie alla sua competenza ed alla collaborazione di Filippo il viaggio si è svolto senza intoppi secondo i tempi ed i ritmi previsti.
 Unica pecca due giornate di pioggia alternata a vento e sole, un po' fastidiose. Il gruppo troppo  numeroso e ""internazionale"" ha impedito la creazione di legami e amicizie che invece sarebbe stato bello poter coltivare.
 In ogni caso, esperienza positiva e stimolante che consiglio a chi ama la bicicletta!","lorella","G277 - Da Londra ad Amsterdam in bicicletta","G277","",""
"Monica – G277","","2018-07-15","Viaggio veramente bello. Mi è piaciuto molto.
 Tutto organizzato e curato molto bene, gli alberghi sono ottimi, in particolare quello di Bruges, come del resto questa cittadina medioevale incantevole.
 Il percorso è bello e vario, particolari la campagna inglese e quella olandese.
 Le guide, Riccardo e Lele, molto bravi, pazienti e molto professionali. Qualunque problemino veniva affrontato con professionalità e le soluzioni rapide ed efficaci.
 L'Olanda è un paese fantastico per chi ama andare in bicicletta.
 Sono molto contenta di aver scelto questo viaggio per le mie vacanze e consiglierei di provarlo.
 Grazie Verde Natura.","Monica","G277 - Da Londra ad Amsterdam in bicicletta","G277","Grazie Monica, siamo molto felici che il viaggio ti sia piaciuto. Speriamo di riaverti presto in viaggio con noi!",""
"Vittorio – G277","","2016-09-12","apprezzata la vostra disponibilità in fase di prenotazione considerato il fatto che il viaggio era organizzato solo per il nostro gruppo. molto bello il tratto inglese ed olandese po' monotono quello franco-belga. confortevole eleganti tutti gli hotel ed ottimi i pasti.sia sabrina che riccardo, le nostre guide, sono state sempre disponibili, forse un po' troppo fiscale sabrina, comunque sempre gentile. un po' troppo rapide le varie visite ai luoghi più interessanti, ma credo fosse difficile fare altrimenti dati i tempi abbastanza stretti da rispettare. in conclusione un bellissimo viaggio.","Vittorio","G277 - Da Londra ad Amsterdam in bicicletta","G277","",""
"Barbara e Annaisa – G277","","2016-07-31","Rientrate oggi dal tour londra-amsterdam , stanche ma felici. le stutture ricettive sono state tutte all'altezza e l'organizzazione perfetta sotto tuttti i punti di vista. i ""due riccardo"" ,la nostra guida e l'assistenza sono stati perfetti in tutto, rispondendo alle nostre curiosità e facendoci sempre trovare tutto pronto , in partenza e all'arrivo. il tour è molto bello e interessante, per la varietá di paesaggi e personaggi incontrati, dalla grande cittá turistica ed affollata al paesino di pescatori calmo e placido. un ringraziamento anche ai miei compagni di viaggio, simpatici e disponibili. torneremo con un bellissimo ricordo di ciò che abbiamo visto e ripenseremo a questi momenti mentre programmiamo un altro tour per il prossimo anno. viva verde natura e grazie.","Barbara e Annaisa","G277 - Da Londra ad Amsterdam in bicicletta","G277","",""
